signature,channel_id,channel_name,msg_id,message,cleaned_message,date,msg_link,views,number_replies,number_forwards,is_forward,forward_msg_from_peer_type,forward_msg_from_peer_id,forward_msg_from_peer_name,forward_msg_date,forward_msg_date_string,forward_msg_link,is_reply,contains_media,media_type,has_url,url,domain,url_title,url_description,document_type,document_id,document_video_duration,document_filename,poll_id,poll_question,poll_total_voters,poll_results
msg_iteration.0.user.ethiopianfoodanddrugauthority.post.5049,1342468332,ethiopianfoodanddrugauthority,5049,"የመንግስትና የግል ድርጅቶች አጋርነት በማጠናከር የፀረ-ተህዋሲያን መድኃኒቶች በጀርሞች መላመድን ለመከላከል ሁሉን አቀፍ ትብብር እንደሚያስፈልግ ተገለፀ፡፡
አዲስ አበባ ሰኔ 7/2016 ዓ.ም 12ኛው ሀገር አቀፍ የፀረ-ተህዋስያን መድኃኒቶች በጀርሞች መላመድን የግንዛቤ ማስጨበጫ ቀን በፓናል ውይይት ሲከበር በዘርፉ የቀረቡ ጥናቶች እንዳመላከቱት የፀረ-ተህዋሲያን መድኃኒቶች በጀርሞች መላመድን ለመከላከል ሁሉን አቀፍ ትብብር ያስፈልጋል፡፡
በመድረኩ የኢትዮጵያ ምግብና መድኃኒት ባለስልጣንን በመወከል ንግግር ያደረጉት የባለስልጣኑ የፋርማኮቪጂላንስና የህክምና ሙከራ መሪ ስራ አስፈፃሚ ወ/ሮ አስናቀች ዓለሙ እንደተናገሩት የፀረ-ተህዋሲያን መድኃኒቶች በጀርሞች መላመድን በሰው ልጅ፣ በእንስሳትና በአካባቢ ላይ ትልቅ ስጋት ደቅኗል፡፡ ስለሆነም ችግሩን ለመቀነስ ብሎም ለመከላከል የመንግስትና የግሉ ዘርፍ ሁሉን አቀፍ ትብብር ማድረግ ጊዜው የሚጠይቀው ጉዳይ ነው ብለዋል፡፡
አክለውም የፀረ-ተህዋስያን መድኃኒቶች በጀርሞች መላመድ ድምፅ አልባ ገዳይ የሚባል አለም አቀፍ ችግር መሆኑን ጠቁመው ችግሩ ግዙፍ አጣዳፊ በመሆኑ በጤና ፣ በኢኮኖሚ ፣በማህበራዊና በሌሎችም መስኮች ላይ የሚያደርሰው ጉዳት ለመከላከል የመድኃኒት አጠቃቀማችንን አግባባዊ ማድረግና በጊዜ የለንም መንፈስ መንቀሳቀስ ከሁላችንም ይጠበቃል ነው ያሉት፡፡ 
የአለም ጤና ድርጅት የኢትዮጵያ ምክትል ተወካይ ዶ/ር ድላሚኒ ኖንሀላናሃላ ባአስተላፉት መልዕክት የፀረ-ተህዋሲያን መድኃኒቶች በጀርሞች መላመድን  ከፍተኛ የጤና ወጪ፣ የሆስፒታል ቆይታን የሚያራዝም፣ ደካማ የሕክምና ውጤት የሚያስከትል፣ በመድኃኒትና በጤና ስርዓቱ ላይ እምነት የሚያሳጣ እና ዝቅተኛ የህክምና አገልግሎት እንዲኖር የሚያደርግ የዘመናችን ትልቁ ስጋት ነው ብለዋል።",የመንግስትና የግል ድርጅቶች አጋርነት በማጠናከር የፀረ-ተህዋሲያን መድኃኒቶች በጀርሞች መላመድን ለመከላከል ሁሉን አቀፍ ትብብር እንደሚያስፈልግ ተገለፀ፡፡ አዲስ አበባ ሰኔ 7/2016 ዓ.ም 12ኛው ሀገር አቀፍ የፀረ-ተህዋስያን መድኃኒቶች በጀርሞች መላመድን የግንዛቤ ማስጨበጫ ቀን በፓናል ውይይት ሲከበር በዘርፉ የቀረቡ ጥናቶች እንዳመላከቱት የፀረ-ተህዋሲያን መድኃኒቶች በጀርሞች መላመድን ለመከላከል ሁሉን አቀፍ ትብብር ያስፈልጋል፡፡ በመድረኩ የኢትዮጵያ ምግብና መድኃኒት ባለስልጣንን በመወከል ንግግር ያደረጉት የባለስልጣኑ የፋርማኮቪጂላንስና የህክምና ሙከራ መሪ ስራ አስፈፃሚ ወ/ሮ አስናቀች ዓለሙ እንደተናገሩት የፀረ-ተህዋሲያን መድኃኒቶች በጀርሞች መላመድን በሰው ልጅ፣ በእንስሳትና በአካባቢ ላይ ትልቅ ስጋት ደቅኗል፡፡ ስለሆነም ችግሩን ለመቀነስ ብሎም ለመከላከል የመንግስትና የግሉ ዘርፍ ሁሉን አቀፍ ትብብር ማድረግ ጊዜው የሚጠይቀው ጉዳይ ነው ብለዋል፡፡ አክለውም የፀረ-ተህዋስያን መድኃኒቶች በጀርሞች መላመድ ድምፅ አልባ ገዳይ የሚባል አለም አቀፍ ችግር መሆኑን ጠቁመው ችግሩ ግዙፍ አጣዳፊ በመሆኑ በጤና ፣ በኢኮኖሚ ፣በማህበራዊና በሌሎችም መስኮች ላይ የሚያደርሰው ጉዳት ለመከላከል የመድኃኒት አጠቃቀማችንን አግባባዊ ማድረግና በጊዜ የለንም መንፈስ መንቀሳቀስ ከሁላችንም ይጠበቃል ነው ያሉት፡፡ የአለም ጤና ድርጅት የኢትዮጵያ ምክትል ተወካይ ዶ/ር ድላሚኒ ኖንሀላናሃላ ባአስተላፉት መልዕክት የፀረ-ተህዋሲያን መድኃኒቶች በጀርሞች መላመድን ከፍተኛ የጤና ወጪ፣ የሆስፒታል ቆይታን የሚያራዝም፣ ደካማ የሕክምና ውጤት የሚያስከትል፣ በመድኃኒትና በጤና ስርዓቱ ላይ እምነት የሚያሳጣ እና ዝቅተኛ የህክምና አገልግሎት እንዲኖር የሚያደርግ የዘመናችን ትልቁ ስጋት ነው ብለዋል።,2024-06-14 16:41:24+00:00,https://t.me/ethiopianfoodanddrugauthority/5049,465,0,0,0,0,0.0,0,0,0,0,0,1,MessageMediaPhoto,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0
msg_iteration.1.user.ethiopianfoodanddrugauthority.post.5048,1342468332,ethiopianfoodanddrugauthority,5048,0,0,2024-06-14 16:41:24+00:00,https://t.me/ethiopianfoodanddrugauthority/5048,463,0,0,0,0,0.0,0,0,0,0,0,1,MessageMediaPhoto,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0
msg_iteration.2.user.ethiopianfoodanddrugauthority.post.5047,1342468332,ethiopianfoodanddrugauthority,5047,0,0,2024-06-14 16:41:24+00:00,https://t.me/ethiopianfoodanddrugauthority/5047,463,0,0,0,0,0.0,0,0,0,0,0,1,MessageMediaPhoto,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0
msg_iteration.3.user.ethiopianfoodanddrugauthority.post.5046,1342468332,ethiopianfoodanddrugauthority,5046,0,0,2024-06-14 16:41:24+00:00,https://t.me/ethiopianfoodanddrugauthority/5046,459,0,0,0,0,0.0,0,0,0,0,0,1,MessageMediaPhoto,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0
msg_iteration.4.user.ethiopianfoodanddrugauthority.post.5045,1342468332,ethiopianfoodanddrugauthority,5045,0,0,2024-06-14 16:41:24+00:00,https://t.me/ethiopianfoodanddrugauthority/5045,460,0,0,0,0,0.0,0,0,0,0,0,1,MessageMediaPhoto,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0
msg_iteration.5.user.ethiopianfoodanddrugauthority.post.5044,1342468332,ethiopianfoodanddrugauthority,5044,0,0,2024-06-14 16:41:24+00:00,https://t.me/ethiopianfoodanddrugauthority/5044,460,0,0,0,0,0.0,0,0,0,0,0,1,MessageMediaPhoto,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0
msg_iteration.6.user.ethiopianfoodanddrugauthority.post.5043,1342468332,ethiopianfoodanddrugauthority,5043,0,0,2024-06-14 16:41:24+00:00,https://t.me/ethiopianfoodanddrugauthority/5043,458,0,0,0,0,0.0,0,0,0,0,0,1,MessageMediaPhoto,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0
msg_iteration.7.user.ethiopianfoodanddrugauthority.post.5042,1342468332,ethiopianfoodanddrugauthority,5042,0,0,2024-06-14 16:41:24+00:00,https://t.me/ethiopianfoodanddrugauthority/5042,460,0,0,0,0,0.0,0,0,0,0,0,1,MessageMediaPhoto,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0
msg_iteration.8.user.ethiopianfoodanddrugauthority.post.5041,1342468332,ethiopianfoodanddrugauthority,5041,0,0,2024-06-14 16:41:24+00:00,https://t.me/ethiopianfoodanddrugauthority/5041,462,0,0,0,0,0.0,0,0,0,0,0,1,MessageMediaPhoto,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0
msg_iteration.9.user.ethiopianfoodanddrugauthority.post.5040,1342468332,ethiopianfoodanddrugauthority,5040,0,0,2024-06-14 16:41:23+00:00,https://t.me/ethiopianfoodanddrugauthority/5040,458,0,0,0,0,0.0,0,0,0,0,0,1,MessageMediaPhoto,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0
